,players,player_href,player_id,Birthday,Number,transfer_hrefs,transfer_years,transfer_club_ids,current_mv,max_mv,main_position,nationality,other_positions
10,Christopher Lenz,/christopher-lenz/profil/spieler/159844,159844,"Sep 22, 1994 (21)",-,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2021', '/holstein-kiel/transfers/verein/269/saison_id/2017', '/1-fc-union-berlin/transfers/verein/89/saison_id/2016', '/borussia-monchengladbach-ii/transfers/verein/1006/saison_id/2016', '/borussia-monchengladbach-u19/transfers/verein/4121/saison_id/2012', '/hertha-bsc-u19/transfers/verein/2827/saison_id/2012', '/hertha-bsc-u17/transfers/verein/21066/saison_id/2011', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2010', '/tennis-borussia-berlin-youth/transfers/verein/12596/saison_id/2008']","['2021', '2017', '2016', '2016', '2012', '2012', '2011', '2010', '2008']","['89', '89', '269', '89', '1006', '4121', '2827', '21066', '11844', '12596']","
                €2.50m                ",€5.00m,['Left-Back'],['Germany'],['Left Midfield']
11,Christopher Trimmel,/christopher-trimmel/profil/spieler/75921,75921,"Feb 24, 1987 (29)",28,"['/rapid-vienna/transfers/verein/170/saison_id/2014', '/sk-rapid-wien-ii/transfers/verein/7001/saison_id/2009', '/ask-horitschon/transfers/verein/17888/saison_id/2008', '/ufc-mannersdorf/transfers/verein/28217/saison_id/2006']","['2014', '2009', '2008', '2006']","['89', '170', '7001', '17888', '28217']","
                €800k                ",€1.20m,['Right-Back'],['Austria'],"['Right Midfield', 'Centre-Back']"
12,Benjamin Kessel,/benjamin-kessel/profil/spieler/40116,40116,"Oct 1, 1987 (28)",5,"['/eintracht-braunschweig/transfers/verein/23/saison_id/2021', '/1-fc-saarbrucken/transfers/verein/1/saison_id/2018', '/1-fc-kaiserslautern/transfers/verein/2/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/eintracht-braunschweig/transfers/verein/23/saison_id/2015', '/1-fsv-mainz-05-ii/transfers/verein/851/saison_id/2010', '/vfr-wormatia-worms/transfers/verein/158/saison_id/2008', '/1-fc-kaiserslautern-ii/transfers/verein/151/saison_id/2007', '/1-fc-kaiserslautern-u19/transfers/verein/2371/saison_id/2006', '/hassia-bingen-u17/transfers/verein/39109/saison_id/2004']","['2021', '2018', '2018', '2017', '2015', '2010', '2008', '2007', '2006', '2004']","['89', '23', '1', '2', '89', '23', '851', '158', '151', '2371', '39109']","
                -                ",€900k,['Right-Back'],['Germany'],"['Centre-Back', 'Right Midfield']"
13,Stephan Fürstner,/stephan-furstner/profil/spieler/35493,35493,"Sep 11, 1987 (28)",8,"['/1-fsv-mainz-05-ii/transfers/verein/851/saison_id/2022', '/eintracht-braunschweig/transfers/verein/23/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/spvgg-greuther-furth/transfers/verein/65/saison_id/2015', '/fc-bayern-munich-ii/transfers/verein/28/saison_id/2009', '/bayern-munich/transfers/verein/27/saison_id/2008', '/fc-bayern-munich-ii/transfers/verein/28/saison_id/2006', '/fc-bayern-munich-u19/transfers/verein/1462/saison_id/2005', '/fc-bayern-munich-u17/transfers/verein/21058/saison_id/2004', '/fc-bayern-munchen-youth/transfers/verein/18936/saison_id/2002']","['2022', '2020', '2018', '2015', '2009', '2008', '2006', '2005', '2004', '2002']","['89', '851', '23', '89', '65', '28', '27', '28', '1462', '21058', '18936']","
                -                ",€2.00m,['Defensive Midfield'],['Germany'],"['Central Midfield', 'Sweeper']"
14,Lukas Lämmel,/lukas-lammel/profil/spieler/288666,288666,"Sep 8, 1997 (18)",39,"['/berliner-ak-07/transfers/verein/584/saison_id/2022', '/ssv-ulm-1846/transfers/verein/69/saison_id/2020', '/vfr-aalen/transfers/verein/83/saison_id/2019', '/without-club/transfers/verein/515/saison_id/2017', '/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2016', '/1-fc-union-berlin-u17/transfers/verein/21099/saison_id/2014', '/1-fc-union-berlin-youth/transfers/verein/36841/saison_id/2012']","['2022', '2020', '2019', '2017', '2017', '2016', '2014', '2012']","['89', '584', '69', '83', '515', '89', '7802', '21099', '36841']","
                €150k                ",€150k,['Defensive Midfield'],['Germany'],"['Centre-Back', 'Central Midfield']"
15,Damir Kreilach,/damir-kreilach/profil/spieler/68884,68884,"Apr 16, 1989 (27)",19,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/hnk-rijeka/transfers/verein/144/saison_id/2013', '/hnk-rijeka-u19/transfers/verein/14444/saison_id/2007']","['2017', '2013', '2007']","['89', '89', '144', '14444']","
€1.20m ",€2.00m,['Central Midfield'],['Croatia'],"['Defensive Midfield', 'Attacking Midfield']"
16,Felix Kroos,/felix-kroos/profil/spieler/31910,31910,"Mar 12, 1991 (25)",23,"['/eintracht-braunschweig/transfers/verein/23/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/sv-werder-bremen/transfers/verein/86/saison_id/2016', '/1-fc-union-berlin/transfers/verein/89/saison_id/2015', '/sv-werder-bremen/transfers/verein/86/saison_id/2015', '/fc-hansa-rostock/transfers/verein/30/saison_id/2010', '/fc-hansa-rostock-ii/transfers/verein/402/saison_id/2008', '/fc-hansa-rostock-u19/transfers/verein/4052/saison_id/2008', '/fc-hansa-rostock-u17/transfers/verein/21065/saison_id/2007', '/fc-hansa-rostock-youth/transfers/verein/11846/saison_id/2006', '/greifswalder-sc-youth/transfers/verein/42295/saison_id/2002']","['2021', '2020', '2016', '2015', '2015', '2010', '2008', '2008', '2007', '2006', '2002']","['89', '23', '89', '86', '89', '86', '30', '402', '4052', '21065', '11846', '42295']","
                -                ",€2.00m,['Central Midfield'],['Germany'],"['Attacking Midfield', 'Defensive Midfield']"
17,Dennis Daube,/dennis-daube/profil/spieler/39240,39240,"Jul 11, 1989 (26)",10,"['/preussen-munster/transfers/verein/91/saison_id/2023', '/kfc-uerdingen-05/transfers/verein/95/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/fc-st-pauli/transfers/verein/35/saison_id/2015', '/fc-st-pauli-u19/transfers/verein/2486/saison_id/2008', '/fc-st-pauli-u17/transfers/verein/21062/saison_id/2006']","['2023', '2020', '2018', '2015', '2008', '2006']","['89', '91', '95', '89', '35', '2486', '21062']","
                €50k                ",€1.00m,['Central Midfield'],['Germany'],"['Defensive Midfield', 'Attacking Midfield']"
18,Cihan Kahraman,/cihan-kahraman/profil/spieler/303308,303308,"Oct 8, 1998 (17)",36,"['/hertha-bsc-ii/transfers/verein/45/saison_id/2021', '/berliner-ak-07/transfers/verein/584/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/fsv-union-furstenwalde/transfers/verein/5300/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2017', '/1-fc-union-berlin-u17/transfers/verein/21099/saison_id/2015', '/1-fc-union-berlin-youth/transfers/verein/36841/saison_id/2013', '/turkiyemspor-berlin-youth/transfers/verein/32436/saison_id/2012']","['2021', '2020', '2019', '2018', '2018', '2017', '2015', '2013', '2012']","['89', '45', '584', '89', '5300', '89', '7802', '21099', '36841', '32436']","
                €400k                ",€425k,['Central Midfield'],"['Turkey', 'Germany']","['Defensive Midfield', 'Attacking Midfield']"
19,Benjamin Köhler,/benjamin-kohler/profil/spieler/332,332,"Aug 4, 1980 (35)",7,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/1-fc-kaiserslautern/transfers/verein/2/saison_id/2013', '/eintracht-frankfurt/transfers/verein/24/saison_id/2012', '/rot-weiss-essen/transfers/verein/56/saison_id/2004', '/hertha-bsc/transfers/verein/44/saison_id/2003', '/msv-duisburg/transfers/verein/52/saison_id/2001', '/hertha-bsc/transfers/verein/44/saison_id/2001', '/hertha-bsc-ii/transfers/verein/45/saison_id/2000', '/hertha-bsc-u19/transfers/verein/2827/saison_id/1999']","['2017', '2013', '2012', '2004', '2003', '2001', '2001', '2000', '1999']","['89', '89', '2', '24', '56', '44', '52', '44', '45', '2827']","
                -                ",€2.50m,['Left Midfield'],['Germany'],"['Central Midfield', 'Left-Back']"
20,Eroll Zejnullahu,/eroll-zejnullahu/profil/spieler/203076,203076,"Oct 19, 1994 (21)",27,"['/spvgg-bayreuth/transfers/verein/752/saison_id/2023', '/berliner-ak-07/transfers/verein/584/saison_id/2022', '/fc-nitra/transfers/verein/1562/saison_id/2021', '/without-club/transfers/verein/515/saison_id/2020', '/fc-carl-zeiss-jena/transfers/verein/113/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/sv-sandhausen/transfers/verein/254/saison_id/2017', '/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2013', '/fc-hertha-03-zehlendorf-u19/transfers/verein/10342/saison_id/2012', '/sv-tasmania-berlin-u17/transfers/verein/28051/saison_id/2011']","['2023', '2022', '2021', '2020', '2020', '2019', '2017', '2017', '2013', '2012', '2011']","['89', '752', '584', '1562', '515', '113', '89', '254', '89', '7802', '10342', '28051']","
                €200k                ",€900k,['Attacking Midfield'],"['Kosovo', 'Germany']","['Central Midfield', 'Right Winger']"
21,Kenny Prince Redondo,/kenny-prince-redondo/profil/spieler/196147,196147,"Aug 29, 1994 (21)",18,"['/spvgg-greuther-furth/transfers/verein/65/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/spvgg-unterhaching/transfers/verein/66/saison_id/2015', '/spvgg-unterhaching-u19/transfers/verein/8207/saison_id/2013', '/spvgg-unterhaching-u17/transfers/verein/33034/saison_id/2011', '/spvgg-unterhaching-youth/transfers/verein/36747/saison_id/2009', '/rot-weiss-oberfohring-youth/transfers/verein/65718/saison_id/2007']","['2020', '2018', '2015', '2013', '2011', '2009', '2007']","['89', '65', '89', '66', '8207', '33034', '36747', '65718']","
                €750k                ",€750k,['Left Winger'],"['Germany', 'Spain']","['Centre-Forward', 'Right Winger']"
22,Maximilian Thiel,/maximilian-thiel/profil/spieler/120301,120301,"Feb 3, 1993 (23)",11,"['/sv-wehen-wiesbaden/transfers/verein/108/saison_id/2022', '/1-fc-heidenheim-1846/transfers/verein/2036/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/1-fc-koln/transfers/verein/3/saison_id/2015', '/1-fc-union-berlin/transfers/verein/89/saison_id/2014', '/1-fc-koln/transfers/verein/3/saison_id/2014', '/sv-wacker-burghausen/transfers/verein/110/saison_id/2013', '/sv-wacker-burghausen-u17/transfers/verein/21128/saison_id/2010']","['2022', '2021', '2017', '2015', '2014', '2014', '2013', '2010']","['89', '108', '2036', '89', '3', '89', '3', '110', '21128']","
                €225k                ",€750k,['Left Winger'],['Germany'],"['Attacking Midfield', 'Right Winger']"
23,Adrian Nikci,/adrian-nikci/profil/spieler/63384,63384,"Nov 10, 1989 (26)",14,"['/fc-weesen/transfers/verein/37820/saison_id/2021', '/fc-schaffhausen/transfers/verein/1277/saison_id/2020', '/without-club/transfers/verein/515/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/1-fc-nuremberg/transfers/verein/4/saison_id/2015', '/hannover-96/transfers/verein/42/saison_id/2014', '/bsc-young-boys/transfers/verein/452/saison_id/2014', '/hannover-96/transfers/verein/42/saison_id/2014', '/fc-thun/transfers/verein/938/saison_id/2013', '/hannover-96/transfers/verein/42/saison_id/2013', '/fc-zurich/transfers/verein/260/saison_id/2012', '/fc-zurich-u21/transfers/verein/5501/saison_id/2008', '/fc-zurich-u18/transfers/verein/14537/saison_id/2007', '/fc-zurich-u16/transfers/verein/32338/saison_id/2005']","['2021', '2020', '2018', '2017', '2015', '2014', '2014', '2014', '2013', '2013', '2012', '2008', '2007', '2005']","['89', '37820', '1277', '515', '89', '4', '42', '452', '42', '938', '42', '260', '5501', '14537', '32338']","
                -                ",€800k,['Left Winger'],"['Switzerland', 'Kosovo']","['Right Winger', 'Left Midfield']"
24,Christopher Quiring,/christopher-quiring/profil/spieler/77951,77951,"Nov 23, 1990 (25)",-,"['/vsg-altglienicke/transfers/verein/17847/saison_id/2021', '/fc-hansa-rostock/transfers/verein/30/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2016', '/1-fc-union-berlin-ii-2015-/transfers/verein/5303/saison_id/2010', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2009', '/1-fc-union-berlin-u17/transfers/verein/21099/saison_id/2007', '/1-fc-union-berlin-youth/transfers/verein/36841/saison_id/2005', '/bsc-marzahn-youth/transfers/verein/57423/saison_id/2002']","['2021', '2018', '2016', '2010', '2009', '2007', '2005', '2002']","['89', '17847', '30', '89', '5303', '7802', '21099', '36841', '57423']","
                -                ",€1.25m,['Right Winger'],['Germany'],"['Attacking Midfield', 'Left Winger']"
25,Raffael Korte,/raffael-korte/profil/spieler/109793,109793,"Aug 29, 1990 (25)",13,"['/sv-waldhof-mannheim/transfers/verein/85/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/eintracht-braunschweig/transfers/verein/23/saison_id/2015', '/1-fc-saarbrucken/transfers/verein/1/saison_id/2013', '/eintracht-braunschweig/transfers/verein/23/saison_id/2013', '/tus-mechtersheim/transfers/verein/2594/saison_id/2011', '/phonix-schifferstadt-u19/transfers/verein/22538/saison_id/2009', '/phonix-schifferstadt-youth/transfers/verein/54919/saison_id/2007']","['2020', '2017', '2015', '2013', '2013', '2011', '2009', '2007']","['89', '85', '89', '23', '1', '23', '2594', '22538', '54919']","
                -                ",€600k,['Right Winger'],"['Germany', 'Italy']","['Attacking Midfield', 'Left Winger']"
26,Sören Brandy,/soren-brandy/profil/spieler/8639,8639,"May 6, 1985 (31)",-,"['/career-break/transfers/verein/2113/saison_id/2021', '/arminia-bielefeld/transfers/verein/10/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2016', '/msv-duisburg/transfers/verein/52/saison_id/2013', '/sc-paderborn-07/transfers/verein/127/saison_id/2012', '/rot-weiss-essen/transfers/verein/56/saison_id/2008', '/holstein-kiel/transfers/verein/269/saison_id/2007', '/fc-gutersloh/transfers/verein/220/saison_id/2006', '/fc-gutersloh-u19/transfers/verein/8063/saison_id/2003']","['2021', '2019', '2016', '2013', '2012', '2008', '2007', '2006', '2003']","['89', '2113', '10', '89', '52', '127', '56', '269', '220', '8063']","
                -                ",€900k,['Second Striker'],['Germany'],"['Right Winger', 'Left Winger']"
27,Sebastian Polter,/sebastian-polter/profil/spieler/60957,60957,"Apr 1, 1991 (25)",9,"['/vfl-bochum/transfers/verein/80/saison_id/2022', '/fortuna-sittard/transfers/verein/385/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/queens-park-rangers/transfers/verein/1039/saison_id/2016', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2015', '/1-fc-union-berlin/transfers/verein/89/saison_id/2014', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2014', '/vfl-wolfsburg/transfers/verein/82/saison_id/2013', '/1-fc-nuremberg/transfers/verein/4/saison_id/2012', '/vfl-wolfsburg/transfers/verein/82/saison_id/2012', '/vfl-wolfsburg-ii-2021-/transfers/verein/143/saison_id/2011', '/vfl-wolfsburg-u19/transfers/verein/5343/saison_id/2008', '/vfl-wolfsburg-u17/transfers/verein/21087/saison_id/2007', '/eintracht-braunschweig-u17/transfers/verein/22725/saison_id/2007', '/sv-wilhelmshaven-youth/transfers/verein/39392/saison_id/2006', '/sv-werder-bremen-youth/transfers/verein/12012/saison_id/2005', '/sv-wilhelmshaven-youth/transfers/verein/39392/saison_id/2004', '/heidmuhler-fc-youth/transfers/verein/45917/saison_id/2003']","['2022', '2021', '2020', '2016', '2015', '2014', '2014', '2013', '2012', '2012', '2011', '2008', '2007', '2007', '2006', '2005', '2004', '2003']","['89', '80', '385', '89', '1039', '39', '89', '39', '82', '4', '82', '143', '5343', '21087', '22725', '39392', '12012', '39392', '45917']","
                €800k                ",€2.25m,['Centre-Forward'],['Germany'],
28,Steven Skrzybski,/steven-skrzybski/profil/spieler/93827,93827,"Nov 18, 1992 (23)",24,"['/fc-schalke-04/transfers/verein/33/saison_id/2021', '/fortuna-dusseldorf/transfers/verein/38/saison_id/2019', '/fc-schalke-04/transfers/verein/33/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2011', '/1-fc-union-berlin-u17/transfers/verein/21099/saison_id/2009', '/1-fc-union-berlin-youth/transfers/verein/36841/saison_id/2007', '/stern-kaulsdorf-youth/transfers/verein/65394/saison_id/2000']","['2021', '2019', '2019', '2018', '2011', '2009', '2007', '2000']","['89', '33', '38', '33', '89', '7802', '21099', '36841', '65394']","
                €1.30m                ",€3.50m,['Centre-Forward'],['Germany'],"['Second Striker', 'Attacking Midfield']"
